sku,identidade_antes,identidade_depois,conflito_antes,conflito_depois,motivos_antes,motivos_depois,avisos,vinculo,fila,regra
VTK005172,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,REATIVACAO_CANDIDATA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,REATIVACAO_CANDIDATA,REATIVACOES,M2M-IDENTITY-v2.1
VTK017765,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK018194,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK003338,IDENTIDADE_DIVERGENTE,IDENTIDADE_INCONCLUSIVA,CONFLITO_CONFIRMADO,PENDENCIA_VALIDACAO,DIVERGENCIA_BRAND | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK018617,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,COMPOSICAO_KIT_NAO_COMPROVADA,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK004080,IDENTIDADE_DIVERGENTE,IDENTIDADE_INCONCLUSIVA,CONFLITO_CONFIRMADO,PENDENCIA_VALIDACAO,DIVERGENCIA_BRAND | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EQUIVALENCIA_MARCA_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK018810,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017722,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK002644,IDENTIDADE_DIVERGENTE,IDENTIDADE_INCONCLUSIVA,CONFLITO_CONFIRMADO,PENDENCIA_VALIDACAO,DIVERGENCIA_BRAND | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EQUIVALENCIA_MARCA_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK005761,IDENTIDADE_DIVERGENTE,IDENTIDADE_INCONCLUSIVA,CONFLITO_CONFIRMADO,PENDENCIA_VALIDACAO,DIVERGENCIA_BRAND | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,COR_DO_MODELO_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017919,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017330,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK002372,IDENTIDADE_DIVERGENTE,IDENTIDADE_INCONCLUSIVA,CONFLITO_CONFIRMADO,PENDENCIA_VALIDACAO,DIVERGENCIA_BRAND | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EQUIVALENCIA_MARCA_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017682,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017804,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
