sku,pricing_group_id,product_id,product_name,ml_item_ids,origin_ml_item_id,title,current_price,current_profit,current_margin_pct,experimental_price,experimental_profit,experimental_margin_pct,target_margin_pct,supplier_cost,fee_amount,shipping_amount,tax_rate,visits_30d,visits_90d,visits_150d,sales_30d,sales_90d,sales_150d,stock,price_to_win,catalog_synchronized_pair,sync_confirmed
VTK002227,VTK002227|MLB4857623595,4efe3467-2be4-4b89-ba84-1446d697b53a,Adaptador de Antena Níquel CB90 Prata Storm - PCT / 10,"[""MLB4857623595""]",MLB4857623595,Adaptador De Antena Níquel Cb90 Prata Storm,61.56,17.98,29.2074,42.5,2.98,7.0025,7.000000000000001,17.53,5.52,12.95,0.082799,0,1,1,0,0,0,12,0,false,true
VTK012476,VTK012476|MLB57293772,d94d2985-5ac3-49ee-8846-3bc4e349d918,Correia Ny Marrom Bkr,"[""MLB4880561195"",""MLB7111713078""]",MLB7111713078,Correia Ajustável Basso Bkr1 - Marrom-escuro,61.74,17.98,29.1187,43.09,3.02,7.0013,7.000000000000001,17.1,4.96,14.45,0.082799,1,2,2,0,0,0,10,61.74,true,true
VTK001841,VTK001841|MLB4857624377,65c91c1d-2afc-4159-97f4-dd05358ed9c8,Plug BNC com KRE CBNC0003 Genérico - DEZ / 10,"[""MLB4857624377""]",MLB4857624377,Plug Bnc Com Kre Cbnc0003 Genérico - Dez / 10 Storm,61.95,17.97,29.0026,42.95,3.01,7.0088,7.000000000000001,17.85,5.58,12.95,0.082799,0,1,1,0,0,0,4,0,false,true
VTK001623,VTK001623|MLB4857636589,45a27de3-0b01-418d-a6de-ce9a1b64e775,Conector Cannon Fêmea Preto YS1057A-PO Corpo Metálico Genérico - PCT / 5,"[""MLB4857636589""]",MLB4857636589,Conector Cannon Fêmea Preto Ys1057a-po Corpo Metálico,62.09,17.97,28.9375,43.1,3.02,7.0032,7.000000000000001,17.96,5.6,12.95,0.082799,0,0,0,0,0,0,30,0,false,true
VTK002509,VTK002509|MLB4857624333,15dce143-fc67-4724-ab51-f9fb95020570,Plug RCA Macho 6/7mm Com Mola 3FXA Tarja Preta Genérico Storm - DEZ / 10,"[""MLB4857624333""]",MLB4857624333,Plug Rca Macho 6/7mm Com Mola 3fxa Tarja Preta Genérico,62.22,17.96,28.8647,43.26,3.03,7.0141,7.000000000000001,18.07,5.62,12.95,0.082799,1,4,4,0,0,0,12,0,false,true
VTK000054,VTK000054|MLB54675306,8b558e96-049d-4a48-8c95-2bf504daa0a2,Pasta Térmica Thermal Silver Seringa 5g Prata Implastec,"[""MLB5050065065"",""MLB7437026210""]",MLB5050065065,Pasta Termica Implastec Thermal Silver 5g Seringa,60.58,17.41,28.7383,40.85,2.86,7.0126,7.000000000000001,12.5,7.35,14.75,0.082799,0,0,0,0,0,0,50,17.03,true,true
VTK017608,VTK017608|MLB4981461191,c7461bea-93fe-4456-be60-f12ea4708e58,Lâmpada Super Branca Techone H9 55w 6000k Com Inmetro,"[""MLB4981461191""]",MLB4981461191,Lâmpada Super Branca Techone H9 55w 6000k Com Inmetro,62.58,17.92,28.6351,42.59,2.98,7.0047,7.000000000000001,14.99,7.24,13.85,0.082799,0,0,0,0,0,0,40,0,false,true
VTK002099,VTK002099|MLB4857624313,fbe36f30-b91f-49a8-bd62-bf17d72390f5,Plug RCA Profissional Metal PGRC0012 Preto Storm - DEZ / 10,"[""MLB4857624313""]",MLB4857624313,Plug Rca Profissional Metal Pgrc0012 Preto Storm - Dez / 10,62.96,17.93,28.4819,44.11,3.09,7.013,7.000000000000001,17.78,5.73,13.85,0.082799,0,1,1,0,0,0,11,0,false,true
VTK012532,VTK012532|MLB4857623587,d55c6a5e-6ec3-48ae-80e2-fbc86ac29511,Botão On Off 19mm Prata 220v 3a C/ Led Branco 12v Storm,"[""MLB4857623587""]",MLB4857623587,Botão On Off 19mm Prata 220v 3a C/ Led Branco 12v Storm,63.12,17.93,28.4051,44.55,3.13,7.0153,7.000000000000001,19.44,5.35,12.95,0.082799,3,3,3,0,0,0,7,0,false,true
VTK012402,VTK012402|MLB63263826,d960522f-9b28-4014-90e8-cc2c0286873c,Botão On Off 16mm Prata 220v 3a C/ Led Azul 12v Storm,"[""MLB7149339258"",""MLB4857623495""]",MLB4857623495,Botão On Off 16mm Prata 220v 3a C/ Led Azul 12v Storm Prateado Azul,63.13,17.93,28.3974,44.56,3.12,7.0091,7.000000000000001,19.45,5.35,12.95,0.082799,0,1,1,0,0,0,14,38.46,true,true
