ml_item_id,sku,status,pricing_group_id,preco_remoto,ultima_origem_registrada,regra_historica,preco_evento,instante_evento,coincide_com_evento,acao
MLB7009017154,VTK000145,active,ml:MLB4803805769:MLB7009017154,1590,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009016324,VTK009736,active,ml:MLB7009016324:MLB7044005990,697.15,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009015836,VTK009721,active,ml:MLB4800962493:MLB7009015836,420.64,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009013866,VTK000247,active,ml:MLB4800949527:MLB7009013866,2314,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801397717,VTK000132,active,ml:MLB4801397717:MLB7009927448,203.25,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801364345,VTK000055,active,ml:MLB4801364345:MLB7009879390,297,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801364301,VTK000185,active,ml:MLB4801364301:MLB7009921386,229.81,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801296963,VTK000489,active,ml:MLB4801296963:MLB7317384038,235,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801295297,VTK001026,active,ml:MLB4801295297:MLB7510665990,140.96,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801155957,VTK000484,active,ml:MLB4801155957:MLB4988015093,99,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801143851,VTK000041,active,,122.31,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801121037,VTK003936,active,ml:MLB4801081999:MLB4801121037,201.02,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801083479,VTK000232,active,ml:MLB4801083479:MLB4881447335,176.22,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4801081999,VTK003936,active,ml:MLB4801081999:MLB4801121037,201.02,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800984045,VTK009723,active,ml:MLB4800933665:MLB4800984045,617,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800983975,VTK009727,active,ml:MLB4800933727:MLB4800983975,459,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800983891,VTK009755,active,ml:MLB4800935847:MLB4800983891,738,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800982403,VTK009739,active,item:MLB4800982403,362.43,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800982013,VTK009753,active,item:MLB4800982013,359.85,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800981401,VTK009767,active,ml:MLB4800981401:MLB7044868942,656.22,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800980893,VTK009830,active,,2681.98,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800980675,VTK009752,active,ml:MLB4800980675:MLB4818724561,576.3,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800980603,VTK009746,active,ml:MLB4800949565:MLB4800980603,314.49,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800962603,VTK009744,active,ml:MLB4800958419:MLB4800962603,450,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800962493,VTK009721,active,ml:MLB4800962493:MLB7009015836,420.64,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800960719,VTK009769,active,ml:MLB4800960719:MLB4804992207,601.58,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800960157,VTK009766,active,ml:MLB4800960157:MLB7012848180,870,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800958419,VTK009744,active,ml:MLB4800958419:MLB4800962603,450,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800958323,VTK009738,active,ml:MLB4800958323:MLB7012811320,535.58,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800958095,VTK009737,active,ml:MLB4800958095:MLB4804992227,707,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800957353,VTK009722,active,item:MLB4800957353,524.73,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800957239,VTK009712,active,ml:MLB4800957239:MLB4804981979,606.88,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800956385,VTK009710,active,ml:MLB4800956385:MLB7120040990,1077,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800955825,VTK009708,active,ml:MLB4800938181:MLB4800955825,1675,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800949819,VTK009774,active,ml:MLB4800942397:MLB4800949819,335.96,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800949709,VTK009726,active,ml:MLB4800945791:MLB4800949709,319,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800949565,VTK009746,active,ml:MLB4800949565:MLB4800980603,314.49,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800949527,VTK000247,active,ml:MLB4800949527:MLB7009013866,2314,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800948213,VTK009713,active,ml:MLB4800948213:MLB4804969009,613.83,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800947471,VTK001038,active,item:MLB4800947471,938.21,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800947203,VTK009765,active,ml:MLB4800947203:MLB7023161014,768,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800945791,VTK009726,active,ml:MLB4800945791:MLB4800949709,319,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800945023,VTK009735,active,ml:MLB4800945023:MLB7012823524,1077,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800944801,VTK009734,active,item:MLB4800944801,1690,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800944705,VTK000123,active,ml:MLB4800944705:MLB7317385958,2590,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800943761,VTK009711,active,ml:MLB4800943761:MLB7046574830,699,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800942397,VTK009774,active,ml:MLB4800942397:MLB4800949819,335.96,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800938181,VTK009708,active,ml:MLB4800938181:MLB4800955825,1675,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800936039,VTK009768,active,ml:MLB4800936039:MLB7012935140,601.58,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800935847,VTK009755,active,ml:MLB4800935847:MLB4800983891,738,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800933727,VTK009727,active,ml:MLB4800933727:MLB4800983975,459,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800933665,VTK009723,active,ml:MLB4800933665:MLB4800984045,617,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800933249,VTK001790,active,ml:MLB4800933249:MLB7012823734,1450,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800932331,VTK009714,active,item:MLB4800932331,637,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4800932163,VTK009704,active,ml:MLB4800932163:MLB7012935280,920.93,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7012935280,VTK009704,active,ml:MLB4800932163:MLB7012935280,920.93,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7012935140,VTK009768,active,ml:MLB4800936039:MLB7012935140,601.58,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7012934562,VTK009750,active,ml:MLB7009017380:MLB7012934562,606.88,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7012823734,VTK001790,active,ml:MLB4800933249:MLB7012823734,1450,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7012823524,VTK009735,active,ml:MLB4800945023:MLB7012823524,1077,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7012811320,VTK009738,active,ml:MLB4800958323:MLB7012811320,535.58,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4804206631,VTK000076,active,ml:MLB4804206631:MLB7009915854,777,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4804196255,VTK000174,active,ml:MLB4804196255:MLB7009878740,990,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4803805769,VTK000145,active,ml:MLB4803805769:MLB7009017154,1590,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7023171888,VTK006351,active,ml:MLB6563496572:MLB7023171888,296.97,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7023161014,VTK009765,active,ml:MLB4800947203:MLB7023161014,768,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4804992227,VTK009737,active,ml:MLB4800958095:MLB4804992227,707,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4804992207,VTK009769,active,ml:MLB4800960719:MLB4804992207,601.58,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4804981979,VTK009712,active,ml:MLB4800957239:MLB4804981979,606.88,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4804981757,VTK000419,active,ml:MLB4804981757:MLB7009875704,100.45,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4804969009,VTK009713,active,ml:MLB4800948213:MLB4804969009,613.83,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4811202227,VTK000475,active,ml:MLB4811202227:MLB7009932794,330,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7046574872,VTK009691,active,ml:MLB4773179543:MLB7046574872,406.84,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7046574830,VTK009711,active,ml:MLB4800943761:MLB7046574830,699,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7044868942,VTK009767,active,ml:MLB4800981401:MLB7044868942,656.22,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7044005990,VTK009736,active,ml:MLB7009016324:MLB7044005990,697.15,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4820387925,VTK000153,active,ml:MLB4820387925:MLB7009920192,370,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4818724919,VTK009701,active,ml:MLB4773205281:MLB4818724919,1890,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4818724579,VTK009698,active,ml:MLB4773181121:MLB4818724579,1029,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4818724561,VTK009752,active,ml:MLB4800980675:MLB4818724561,576.3,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7079117896,VTK000083,active,ml:MLB4836091795:MLB7079117896,179.85,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7076594134,VTK000169,active,ml:MLB4841871323:MLB7076594134,295.14,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7076566174,VTK000103,active,item:MLB7076566174,171,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7076440644,VTK000029,active,ml:MLB7076440644:MLB7086772614,214.3,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4836158379,VTK000157,active,item:MLB4836158379,187.64,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4836091795,VTK000083,active,ml:MLB4836091795:MLB7079117896,179.85,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7087427092,VTK006496,active,ml:MLB7087427092:MLB7095325034,870,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7087424240,VTK005369,active,ml:MLB7087424240:MLB7101696360,129,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7087422150,VTK003620,active,ml:MLB7087422150:MLB7095337574,306.54,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
