ml_item_id,sku,produto_id,avaliacao_id,preco,cmv,componentes,tarifa,origem_tarifa,frete,origem_frete,tributo_aliquota,tributo_status,resultado,margem,piso,alvo,limite,status,pendencias,regra,avaliado_em
MLB6563347468,VTK006348,703f9380-1ad6-4ee8-9f7c-9058f7f03c1d,c08293bf-9539-41ca-80a8-01a6ba790f98,223.92,,null,40.31,ml_live,21.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.120Z
MLB6563336144,VTK005700,fc52fdf7-247c-4181-bff3-12a1c7024e1b,50bac1ea-7527-405f-a06d-2da66913bbaa,70.97,,null,12.77,ml_live,8.45,ml_live,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.534Z
MLB6563336120,VTK000835,5d7ce9ce-7529-4225-aebc-8c19347aeb31,15d1bd2d-6867-4481-aee3-75527732c28f,305.9,,null,55.06,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.532Z
MLB6563335788,VTK000930,36acfdda-f51d-45c3-9429-052e175ce95a,58d7184b-38cb-488d-93df-70efd7aceea5,252.21,,null,45.4,ml_live,21.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.533Z
MLB6563332484,VTK000459,95436bbb-f051-4bc1-89de-b0500a4047f1,348cd0ce-d46f-411f-9144-d43205effab9,345.73,,null,62.23,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.953Z
MLB6563332426,VTK000715,2753716d-842f-4878-a5db-7710fc96e942,41281f41-0931-4353-91f9-be48876db340,194.65,,null,35.04,ml_live,19.05,ml_live,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.949Z
MLB6563284994,VTK000844,7fb13c1f-579b-4c0b-96fe-bcf330b2561a,67c4afff-314b-4a85-983a-da2e67012317,282.93,,null,39.61,ml_live,40.85,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.949Z
MLB6563284982,VTK000827,45df8435-c945-4cea-b10a-5832a318de34,790460ec-bacf-459a-9c79-edc999831ede,283.46,,null,39.68,ml_live,45.25,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.950Z
MLB6563284802,VTK000905,0f13c696-7936-4ad7-bdfe-b62fd08ba67a,ff224d2f-cec7-4258-ba66-955b182904d5,129,,null,23.22,ml_live,18.15,ml_live,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:37.351Z
MLB6563284622,VTK000915,219bc5d7-570e-43b4-b8b3-798a9104ce71,a533ab6c-8590-4243-9c9f-4ad10784053a,289.71,,null,52.15,ml_live,21.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:37.352Z
MLB6563284590,VTK000969,974831eb-0646-4189-a5da-b7e74cf49931,79094da8-9c4d-4d21-8bd9-a7a6112fcbd5,217,,null,39.06,ml_live,21.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:37.352Z
MLB6563283480,VTK001066,9403cb92-5618-4124-b7bf-4559f3478306,8cc6e011-a9eb-42a5-af64-3b5d12d1c4cf,266.27,,null,47.93,ml_live,23.25,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:37.352Z
MLB6563281152,VTK000931,375beb9c-4bb2-469d-8e22-e6a3ab2bf54e,f438f552-c5ab-4abf-8bc9-804f9418699c,219.06,,null,39.43,ml_live,27.05,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:37.737Z
MLB6559498300,VTK000463,9fe320dc-c991-424c-a5b3-282668fd88ac,00709f87-e16a-4cca-bc0c-913a3ed93593,163.28,,null,23.68,ml_live,24.35,ml_live,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:37.737Z
MLB6559459496,VTK002591,dd8671bb-3add-4d84-8179-fadb175346de,21954d3f-da85-416e-8cee-fb5365f19fd0,176.04,,null,26.41,ml_live,22.25,ml_live,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:37.737Z
MLB4582595257,VTK000912,1a2ec406-faab-4c11-a3e8-d6738ec8dfd7,03c9dd79-ecd4-436a-823b-0ead6329de51,591.06,,null,106.39,ml_live,75.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.128Z
MLB4582594023,VTK000524,2df9ce35-0bf3-45fb-a61f-904d4435a0ed,ebc3f21f-76d7-4e27-af70-a309b4d18e76,591,,null,94.56,ml_live,27.05,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.135Z
MLB4582583217,VTK006052,858ab255-4665-4579-9d78-bbf03ec4b838,bb6e2281-f39e-4f29-9d9b-11fee53d50b7,343.71,,null,61.87,ml_live,27.05,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.136Z
MLB4582576805,VTK000939,3ec8cc70-027b-4f3d-87d1-62dc06f4c587,60854985-bc57-4a4f-8efc-b9db300df0a4,394.67,,null,71.04,ml_live,25.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.516Z
MLB4582575093,VTK000970,9a934275-f69d-4c69-a4e1-04004d8e5af0,199b72a8-fd2c-45c9-91cb-680a5c139157,487,,null,87.66,ml_live,75.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.513Z
MLB4582575051,VTK000940,3f3d89e4-1f44-478c-9054-dae20ba2dc93,539b8c54-84de-4109-a8e2-c07da732473c,246.65,,null,39.46,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.938Z
MLB4582569547,VTK000909,1091395b-936f-4d58-826e-753a230f2273,820b18c2-88c8-4696-8065-2d6850798355,80.1,,null,14.42,ml_live,14.75,ml_live,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.939Z
MLB4582568357,VTK001289,ebddceec-c599-40b4-a279-713ca003de91,032871ee-33a8-4033-afb7-5a931d137a32,301.79,,null,54.32,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:38.939Z
